Title,Subscribers,Reviews,RevPercent,Length
Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,75,525,0.01,4.0
Learning Dynamic Website Design - PHP MySQL and JavaScript,50,285,0.01,12.5
ChatBots: Messenger ChatBot with API.AI and Node.JS,50,529,0.21,4.5
Projects in HTML5,60,206,0.02,15.5
Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,20,490,0.02,5.5
How To Make A Wordpress Website 2017 | Divi Theme Tutorial,40,202,0.06,4.0
Build Your Own Backend REST API using Django REST Framework,50,112,0.04,5.5
Angular and Firebase - Build a Web App with Typescript,150,359,0.18,5.0
Web Development Masterclass - Complete Certificate Course,200,178,0.04,19.5
Spring Boot Tutorial For Beginners,40,210,0.08,5.5
The Complete Bootstrap Masterclass Course - Build 4 Projects,195,540,0.02,7.0
Scaling Docker on AWS,25,351,0.11,6.0
Learn JavaScript for beginners,200,167,0.01,1.5
HTML Tutorial: HTML & CSS for Beginners,20,253,0.02,4.0
Learn by Doing: Vue JS 2.0 the Right Way,95,220,0.2,3.5
Learn Complete Web Development From Scratch,40,106,0.01,12.0
Introduction to Web Development: HTML,20,333,0.01,3.0
Web Site for Beginners - Learn Web Building like knitting,20,147,0.02,1.5
How To Make A Wordpress Website 2017 - Divi Theme Tutorial,40,94,0.03,3.0
Web Programming with Python,50,217,0.01,4.0
PHP Login and Registration System - Email Confirm Activation,100,317,0.12,5.0
PSD to Responsive HTML5: Beginner to Advanced,40,218,0.15,6.0
Ultimate Web Developer Course Build 10 Websites from Scratch,200,110,0.01,32.5
Rapid Website Design with Bootstrap,200,131,0.01,1.0
Build Enterprise Applications with Angular 2 (and Angular 4),190,848,0.14,9.5
Angular 4 (2+) Crash Course for Beginners,120,506,0.04,9.0
Accelerated JavaScript Training,110,1017,0.22,7.5
"Beginner API development in Node, Express, ES6, & MongoDB",165,655,0.09,18.5
React JS and Redux - Mastering Web Apps,60,820,0.05,5.0
Web Development w/ Googleâ€™s Go (golang) Programming Language,65,662,0.14,19.0
Git a Web Developer Job: Mastering the Modern Workflow,200,1445,0.25,15.0
The Complete WordPress Website Business Course,150,1981,0.15,20.5
The Complete HTML and CSS Course For Beginners,85,104,0.14,3.0
Learn  Bootstrap Development By Building 10 Projects,60,1358,0.09,13.5
Advanced Javascript,200,1304,0.2,3.5
Dissecting Ruby on Rails 5 - Become a Professional Developer,195,418,0.15,37.5
The Complete Wordpress Course - Build Your Own Website Today,195,73,0.01,3.5
JQuery Essentials core training for Dynamic Interactive web,100,38,0.0,4.0
Node.js: The Essentials + API Frameworks Express KOA Sails,20,52,0.02,1.0
The Complete PHP Bootcamp Course With Video Sharing Project,195,56,0.01,14.5
Build a Single Page Application with jQuery & AJAX,60,59,0.12,2.0
Practical CSS Website Development: Crash Course ,95,35,0.0,2.5
Successful website creation - everything you need to know,150,21,0.0,1.5
Start Writing JavaScript Today - Beginner JavaScript Course,100,41,0.0,3.0
HTML5 Essentials for Beginners,20,200,0.02,1.5
Code a personal splash page in 1 hour,20,83,0.01,1.0
Step-by-step HTML and CSS for Absolute Beginners,120,324,0.05,4.0
Angular 4 Development Decoded,20,13,0.01,1.0
Javascript ES6! A Complete Reference Guide to Javascript ES6,175,41,0.01,7.0
Reactive JS:  Are you ready for the next big paradigm shift?,60,401,0.19,5.5
Learn Python and Django: Payment Processing,70,198,0.01,3.5
Code your first Website using HTML & CSS: Project Learning,20,368,0.04,1.5
"React.js: Building Production Ready Apps, Start to Finish",50,137,0.12,17.5
Learn Object Oriented Programming PHP fundamentals bootcamp,100,142,0.01,1.0
Javascript Intermediate level 2 - Mastering Functions,100,116,0.05,2.5
1 Hour CSS,100,333,0.02,1.0
"Become a Full Stack Developer with Spring, AWS and Stripe",75,193,0.11,10.0
Complete JQuery And JQuery UI Course For Beginner,80,277,0.04,1.0
Learn JavaScript for Web Development,75,220,0.02,8.5
"Complete AJAX Using Bootstrap, PHP From Basic To Advanced.",195,111,0.02,2.5
Complete Wordpress Theme Development Course,150,223,0.21,6.5
How to Optimise Your WordPress Website's Speed & Security to Improve SEO & User Experience,125,46,0.01,3.5
Build A Web App With Spring Framework and Angular 2,145,340,0.2,8.0
Projects in Laravel: Learn Laravel Building 10 Projects,50,6,0.05,10.5
Javascript Intermediate level 3 - JSON,100,76,0.04,2.5
Develop Your First App in an Hour,20,201,0.05,1.0
PHP: Ultimate guide to PHP for everyone,115,75,0.01,1.5
JavaScript DOM Dynamic Web interactive content Boot Camp,75,43,0.01,2.5
"Master JavaScript Programming, 3 Projects Included !!",20,53,0.01,10.5
HTML CSS Learn to create a website from scratch,50,49,0.01,2.0
Complete Codeigniter: From Beginner to Advanced,200,31,0.01,3.0
HTML 5: How I made websites in HTML5,135,237,0.02,1.5
"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap",95,783,0.03,8.0
Complete React JS web developer with ES6 - Build 10 projects,200,121,0.13,12.0
Complete WordPress Theme Developer Course With Bootstrap,150,312,0.09,25.0
The Complete Ethical Hacking Course 2.0: Python & Kali Linux,195,268,0.03,11.0
Dynamic JavaScript Master Class AJAX JSON Simple APIs,200,117,0.01,4.5
Vue JS - Mastering Web Apps,80,215,0.02,4.5
Angular NgRx Store Masterclass - Covers Angular 4,150,212,0.15,8.5
JavaScript the Basics - JavaScript for Beginners,120,674,0.17,9.0
"Complete E-Commerce Course - Java,Spring,Hibernate and MySQL",195,165,0.12,20.0
"Learn SVG Animation - With HTML, CSS & Javascript",65,680,0.05,1.5
"Build a Responsive Website with HTML5, CSS3 and Bootstrap 4",20,395,0.08,7.0
Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,75,525,0.01,4.0
CSS Development (with CSS3!),20,188,0.01,5.0
Angular 2 & TypeScript Beginner Web Development,200,414,0.08,19.5
The Docker for DevOps course: From development to production,25,1111,0.13,7.5
"Beginner Full Stack Web Development: HTML, CSS, React & Node",200,331,0.12,25.5
Learn Angular 2 Development By Building 12 Apps,50,941,0.18,12.0
"Server API Development in Swift, Kitura, & Bluemix",200,129,0.07,20.5
React VR - Creating Virtual Reality Apps,80,72,0.01,3.0
RxJs & Reactive Programming Angular Masterclass - Angular 4,150,179,0.14,7.5
"Coding for Entrepreneurs: Learn Python, Django, and More.",195,799,0.03,45.0
React and Flux Web Development for Beginners,100,836,0.1,11.0
The Full Stack Web Development,60,453,0.15,33.0
Learn Nodejs by building 12 projects,50,997,0.1,16.0
How to Make an Online Portfolio Website from Scratch ,Free,232,0.02,1.0
